time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-01-17 00:00:00+00:00,40,8,135,54
2025-01-18 00:00:00+00:00,9,6,40,22
2025-01-19 00:00:00+00:00,5,4,45,13
2025-01-20 00:00:00+00:00,2101,39,276,46
2025-01-21 00:00:00+00:00,106,20,158,51
2025-01-22 00:00:00+00:00,51,14,172,48
2025-01-23 00:00:00+00:00,135,21,206,43
2025-01-24 00:00:00+00:00,129,16,93,27
2025-01-25 00:00:00+00:00,7,4,36,14
2025-01-26 00:00:00+00:00,6,5,50,13
2025-01-27 00:00:00+00:00,1549,38,226,49
2025-01-28 00:00:00+00:00,29,9,129,36
2025-01-29 00:00:00+00:00,26,7,157,41
2025-01-30 00:00:00+00:00,19,13,111,48
