time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-10-15 00:00:00+00:00,139,14,213,48
2024-10-16 00:00:00+00:00,73,16,663,36
2024-10-17 00:00:00+00:00,114,11,269,45
2024-10-18 00:00:00+00:00,17,7,277,48
2024-10-19 00:00:00+00:00,23,8,115,37
2024-10-20 00:00:00+00:00,3,3,39,14
2024-10-21 00:00:00+00:00,1225,27,198,47
2024-10-22 00:00:00+00:00,96,18,306,54
2024-10-23 00:00:00+00:00,70,9,275,65
2024-10-24 00:00:00+00:00,300,22,681,312
2024-10-25 00:00:00+00:00,362,20,2014,1261
2024-10-26 00:00:00+00:00,75,7,553,254
2024-10-27 00:00:00+00:00,11,7,297,182
2024-10-28 00:00:00+00:00,1310,30,336,148
