time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-11-26 00:00:00+00:00,1431,286,450,112
2025-11-27 00:00:00+00:00,1307,253,407,111
2025-11-28 00:00:00+00:00,859,200,184,53
2025-11-29 00:00:00+00:00,440,154,88,46
2025-11-30 00:00:00+00:00,359,119,34,13
2025-12-01 00:00:00+00:00,2165,371,430,110
2025-12-02 00:00:00+00:00,1402,298,445,94
2025-12-03 00:00:00+00:00,3805,731,393,110
2025-12-04 00:00:00+00:00,510,166,256,54
2025-12-05 00:00:00+00:00,181,109,268,64
2025-12-06 00:00:00+00:00,70,62,46,15
2025-12-07 00:00:00+00:00,68,52,50,21
2025-12-08 00:00:00+00:00,2552,320,131,48
2025-12-09 00:00:00+00:00,4273,454,206,97
