time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-17 00:00:00+00:00,497,194,131,37
2026-03-18 00:00:00+00:00,457,187,124,46
2026-03-19 00:00:00+00:00,210,136,96,43
2026-03-20 00:00:00+00:00,3143,356,100,49
2026-03-21 00:00:00+00:00,311,135,39,19
2026-03-22 00:00:00+00:00,456,136,49,20
2026-03-23 00:00:00+00:00,758,232,73,39
2026-03-24 00:00:00+00:00,1082,292,132,31
2026-03-25 00:00:00+00:00,848,244,120,43
2026-03-26 00:00:00+00:00,558,219,121,38
2026-03-27 00:00:00+00:00,3608,380,209,133
2026-03-28 00:00:00+00:00,162,129,14,7
2026-03-29 00:00:00+00:00,167,123,22,11
2026-03-30 00:00:00+00:00,693,228,81,36
