time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-09-24 00:00:00+00:00,312,168,135,67
2025-09-25 00:00:00+00:00,366,125,128,54
2025-09-26 00:00:00+00:00,296,118,104,42
2025-09-27 00:00:00+00:00,52,42,52,31
2025-09-28 00:00:00+00:00,58,53,16,11
2025-09-29 00:00:00+00:00,2239,316,175,35
2025-09-30 00:00:00+00:00,244,109,136,45
2025-10-01 00:00:00+00:00,487,207,127,55
2025-10-02 00:00:00+00:00,403,134,172,44
2025-10-03 00:00:00+00:00,1082,187,92,34
2025-10-04 00:00:00+00:00,243,115,96,18
2025-10-05 00:00:00+00:00,180,87,44,26
2025-10-06 00:00:00+00:00,3777,387,173,50
2025-10-07 00:00:00+00:00,496,135,187,43
