time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-07-06 00:00:00+00:00,16,5,71,13
2024-07-07 00:00:00+00:00,45,5,123,22
2024-07-08 00:00:00+00:00,1824,20,286,48
2024-07-09 00:00:00+00:00,345,31,221,51
2024-07-10 00:00:00+00:00,11,4,136,41
2024-07-11 00:00:00+00:00,67,14,524,58
2024-07-12 00:00:00+00:00,20,11,138,39
2024-07-13 00:00:00+00:00,27,9,102,16
2024-07-14 00:00:00+00:00,26,10,105,19
2024-07-15 00:00:00+00:00,1099,32,87,36
2024-07-16 00:00:00+00:00,68,24,507,43
2024-07-17 00:00:00+00:00,17,8,173,39
2024-07-18 00:00:00+00:00,29,6,255,40
2024-07-19 00:00:00+00:00,114,12,374,33
