time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-19 00:00:00+00:00,461,184,50,21
2026-04-20 00:00:00+00:00,1321,254,125,50
2026-04-21 00:00:00+00:00,2389,385,147,48
2026-04-22 00:00:00+00:00,2511,580,124,42
2026-04-23 00:00:00+00:00,2605,588,109,48
2026-04-24 00:00:00+00:00,5466,788,121,51
2026-04-25 00:00:00+00:00,1991,347,46,18
2026-04-26 00:00:00+00:00,963,94,30,15
2026-04-27 00:00:00+00:00,2794,459,56,35
2026-04-28 00:00:00+00:00,377,124,93,35
2026-04-29 00:00:00+00:00,5775,565,162,49
2026-04-30 00:00:00+00:00,2924,486,161,43
2026-05-01 00:00:00+00:00,3507,471,109,29
2026-05-02 00:00:00+00:00,1891,322,91,19
