time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-08-04 00:00:00+00:00,1032.0,111.0,176,33
2025-08-05 00:00:00+00:00,2021.0,243.0,95,39
2025-08-06 00:00:00+00:00,87.0,53.0,135,44
2025-08-07 00:00:00+00:00,65.0,35.0,128,44
2025-08-08 00:00:00+00:00,86.0,28.0,45,24
2025-08-09 00:00:00+00:00,62.0,21.0,17,9
2025-08-10 00:00:00+00:00,95.0,23.0,7,6
2025-08-11 00:00:00+00:00,450.0,71.0,60,36
2025-08-12 00:00:00+00:00,94.0,48.0,63,26
2025-08-13 00:00:00+00:00,53.0,35.0,73,35
2025-08-14 00:00:00+00:00,9.0,4.0,58,27
2025-08-15 00:00:00+00:00,,,90,30
2025-08-16 00:00:00+00:00,,,18,15
2025-08-17 00:00:00+00:00,,,41,14
